time,price,balance_exchanges
2021-01-01 00:00:00,28948.19,315343.93964404
2021-01-01 01:00:00,29015.00,315559.25869261
2021-01-01 02:00:00,29443.65,315744.95652059
2021-01-01 03:00:00,29236.58,315707.55666194
2021-01-01 04:00:00,29302.11,315832.22852255
2021-01-01 05:00:00,29237.06,315472.52934423
2021-01-01 06:00:00,29213.80,316028.14557801
2021-01-01 07:00:00,29198.01,316100.00161151
2021-01-01 08:00:00,29107.72,316412.32385817
2021-01-01 09:00:00,29025.90,316465.51763846
2021-01-01 10:00:00,29230.00,317099.40558647
2021-01-01 11:00:00,29259.30,316724.33662869
2021-01-01 12:00:00,29342.00,316586.05318663
2021-01-01 13:00:00,29257.99,317888.03047687
2021-01-01 14:00:00,29493.69,317960.84019349
2021-01-01 15:00:00,29354.57,317685.24172808
2021-01-01 16:00:00,29210.85,317812.84875105
2021-01-01 17:00:00,29324.21,317482.90959244
2021-01-01 18:00:00,29099.00,317518.95881594
2021-01-01 19:00:00,29086.62,317279.23774723
2021-01-01 20:00:00,29048.48,316892.54428071
2021-01-01 21:00:00,29214.13,316953.81086882
2021-01-01 22:00:00,29177.78,316877.19601429
2021-01-01 23:00:00,29275.64,317007.9362983
2021-01-02 00:00:00,29337.15,316806.85757613
2021-01-02 01:00:00,29215.89,316563.46601504
2021-01-02 02:00:00,29380.00,316423.24063369
2021-01-02 03:00:00,29347.02,316203.65475784
2021-01-02 04:00:00,29364.68,316322.28614499
2021-01-02 05:00:00,29362.97,316222.70038727
2021-01-02 06:00:00,29628.64,315899.16739528
2021-01-02 07:00:00,29733.09,316105.35478683
2021-01-02 08:00:00,29778.77,316034.58335203
2021-01-02 09:00:00,29870.01,318815.31124478
2021-01-02 10:00:00,29642.10,318470.62792828
2021-01-02 11:00:00,29708.24,318259.9039616
2021-01-02 12:00:00,29775.00,318254.24202664
2021-01-02 13:00:00,30660.11,318097.00444106
2021-01-02 14:00:00,31610.71,318756.60139657
2021-01-02 15:00:00,31337.87,319202.27735189
2021-01-02 16:00:00,31720.79,320054.34854169
2021-01-02 17:00:00,32545.48,320425.95437373
2021-01-02 18:00:00,32904.20,320445.77205372
2021-01-02 19:00:00,33100.00,320804.46586049
2021-01-02 20:00:00,33115.41,321237.12615152
2021-01-02 21:00:00,30884.75,321964.28313209
2021-01-02 22:00:00,31725.56,320862.31515756
